x; y
144.0810266;4.245486
268.6916779;4.245486
373.8318648;14.4347145
490.6542947;21.2274299
595.7944817;28.0201452
712.6169116;34.8131716
817.7570985;41.6058869
922.8972854;48.3986023
1035.825694;61.984344
1156.542145;75.5700857
1253.894111;92.5520296
1370.716541;112.9304866
1471.962706;116.3269998
1584.891114;140.1018145
1686.137101;153.6874008
1810.747931;170.6695001
1915.888118;180.8587287
2024.922148;197.840828
2122.274292;225.0120005
2231.308679;258.9761992
2340.342709;286.1473717
2445.482896;316.7150572
2554.517283;343.8863851
2663.551669;377.8504284
2760.903457;408.418114
2866.043643;435.5894419
2978.97223;466.1571275
3084.112417;500.1211708
3185.358404;527.2924987
3286.604391;551.0673134
3399.532978;585.0315122
3504.673165;608.8063269
3613.707195;642.7703702
3718.847382;673.3380558
3823.987569;700.5093837
3925.233912;734.473427
4022.585699;758.2483972
4143.302329;795.6087981
4240.654473;822.780126
4349.688503;853.3478116
4454.82869;883.9154972
4552.180834;911.0868251
4661.215132;934.8617176
4774.143362;968.8257609
4871.495505;995.9970888
4976.635692;1026.564774
