ADVANCE_RATIO,CP,ETA
0.2,0.02,0.5
0.2,0.027,0.477
0.2,0.034,0.448
0.2,0.041,0.416
0.2,0.048,0.38
0.2,0.055,0.345
0.2,0.062,0.307
0.2,0.069,0.27
0.2,0.076,0.235
0.2,0.083,0.205
0.2,0.09,0.184
0.2,0.097,0.167
0.2,0.104,0.153
0.2,0.111,0.14
0.2,0.118,0.129
0.2,0.125,0.119
0.2,0.132,0.111
0.2,0.139,0.103
0.2,0.146,0.096
0.2,0.153,0.09
0.2,0.16,0.085
0.27,0.02,0.6
0.27,0.027,0.59
0.27,0.034,0.564
0.27,0.041,0.536
0.27,0.048,0.504
0.27,0.055,0.466
0.27,0.062,0.427
0.27,0.069,0.382
0.27,0.076,0.334
0.27,0.083,0.291
0.27,0.09,0.259
0.27,0.097,0.234
0.27,0.104,0.214
0.27,0.111,0.196
0.27,0.118,0.181
0.27,0.125,0.167
0.27,0.132,0.155
0.27,0.139,0.144
0.27,0.146,0.135
0.27,0.153,0.126
0.27,0.16,0.118
0.34,0.02,0.667
0.34,0.027,0.671
0.34,0.034,0.653
0.34,0.041,0.631
0.34,0.048,0.605
0.34,0.055,0.575
0.34,0.062,0.537
0.34,0.069,0.496
0.34,0.076,0.445
0.34,0.083,0.388
0.34,0.09,0.339
0.34,0.097,0.305
0.34,0.104,0.278
0.34,0.111,0.255
0.34,0.118,0.235
0.34,0.125,0.217
0.34,0.132,0.201
0.34,0.139,0.187
0.34,0.146,0.174
0.34,0.153,0.163
0.34,0.16,0.153
0.41,0.02,0.712
0.41,0.027,0.728
0.41,0.034,0.718
0.41,0.041,0.701
0.41,0.048,0.682
0.41,0.055,0.66
0.41,0.062,0.632
0.41,0.069,0.597
0.41,0.076,0.556
0.41,0.083,0.499
0.41,0.09,0.432
0.41,0.097,0.382
0.41,0.104,0.347
0.41,0.111,0.317
0.41,0.118,0.292
0.41,0.125,0.269
0.41,0.132,0.25
0.41,0.139,0.232
0.41,0.146,0.216
0.41,0.153,0.202
0.41,0.16,0.189
0.48,0.02,0.741
0.48,0.027,0.769
0.48,0.034,0.765
0.48,0.041,0.753
0.48,0.048,0.738
0.48,0.055,0.721
0.48,0.062,0.702
0.48,0.069,0.679
0.48,0.076,0.649
0.48,0.083,0.609
0.48,0.09,0.547
0.48,0.097,0.47
0.48,0.104,0.42
0.48,0.111,0.384
0.48,0.118,0.353
0.48,0.125,0.325
0.48,0.132,0.301
0.48,0.139,0.279
0.48,0.146,0.26
0.48,0.153,0.243
0.48,0.16,0.227
0.55,0.02,0.762
0.55,0.027,0.797
0.55,0.034,0.798
0.55,0.041,0.79
0.55,0.048,0.779
0.55,0.055,0.766
0.55,0.062,0.752
0.55,0.069,0.735
0.55,0.076,0.714
0.55,0.083,0.692
0.55,0.09,0.661
0.55,0.097,0.596
0.55,0.104,0.504
0.55,0.111,0.047
0.55,0.118,0.419
0.55,0.125,0.386
0.55,0.132,0.357
0.55,0.139,0.331
0.55,0.146,0.307
0.55,0.153,0.286
0.55,0.16,0.267
0.62,0.02,0.776
0.62,0.027,0.816
0.62,0.034,0.823
0.62,0.041,0.818
0.62,0.048,0.81
0.62,0.055,0.8
0.62,0.062,0.789
0.62,0.069,0.776
0.62,0.076,0.76
0.62,0.083,0.742
0.62,0.09,0.723
0.62,0.097,0.701
0.62,0.104,0.659
0.62,0.111,0.54
0.62,0.118,0.492
0.62,0.125,0.453
0.62,0.132,0.418
0.62,0.139,0.387
0.62,0.146,0.359
0.62,0.153,0.334
0.62,0.16,0.311
0.69,0.02,0.786
0.69,0.027,0.83
0.69,0.034,0.34
0.69,0.041,0.838
0.69,0.048,0.833
0.69,0.055,0.825
0.69,0.062,0.817
0.69,0.069,0.807
0.69,0.076,0.795
0.69,0.083,0.78
0.69,0.09,0.764
0.69,0.097,0.747
0.69,0.104,0.728
0.69,0.111,0.705
0.69,0.118,0.575
0.69,0.125,0.526
0.69,0.132,0.485
0.69,0.139,0.448
0.69,0.146,0.416
0.69,0.153,0.386
0.69,0.16,0.36
0.76,0.02,0.793
0.76,0.027,0.838
0.76,0.034,0.852
0.76,0.041,0.853
0.76,0.048,0.85
0.76,0.055,0.844
0.76,0.062,0.838
0.76,0.069,0.831
0.76,0.076,0.822
0.76,0.083,0.81
0.76,0.09,0.796
0.76,0.097,0.782
0.76,0.104,0.766
0.76,0.111,0.75
0.76,0.118,0.731
0.76,0.125,0.702
0.76,0.132,0.56
0.76,0.139,0.516
0.76,0.146,0.479
0.76,0.153,0.444
0.76,0.16,0.413
0.83,0.02,0.796
0.83,0.027,0.844
0.83,0.034,0.86
0.83,0.041,0.863
0.83,0.048,0.862
0.83,0.055,0.859
0.83,0.062,0.854
0.83,0.069,0.848
0.83,0.076,0.842
0.83,0.083,0.833
0.83,0.09,0.822
0.83,0.097,0.809
0.83,0.104,0.793
0.83,0.111,0.782
0.83,0.118,0.767
0.83,0.125,0.751
0.83,0.132,0.732
0.83,0.139,0.596
0.83,0.146,0.55
0.83,0.153,0.509
0.83,0.16,0.472
0.9,0.02,0.797
0.9,0.027,0.846
0.9,0.034,0.865
0.9,0.041,0.87
0.9,0.048,0.871
0.9,0.055,0.869
0.9,0.062,0.866
0.9,0.069,0.862
0.9,0.076,0.857
0.9,0.083,0.85
0.9,0.09,0.842
0.9,0.097,0.832
0.9,0.104,0.82
0.9,0.111,0.808
0.9,0.118,0.795
0.9,0.125,0.782
0.9,0.132,0.767
0.9,0.139,0.751
0.9,0.146,0.715
0.9,0.153,0.585
0.9,0.16,0.542
0.97,0.02,0.796
0.97,0.027,0.847
0.97,0.034,0.848
0.97,0.041,0.876
0.97,0.048,0.877
0.97,0.055,0.877
0.97,0.062,0.875
0.97,0.069,0.872
0.97,0.076,0.868
0.97,0.083,0.863
0.97,0.09,0.857
0.97,0.097,0.849
0.97,0.104,0.839
0.97,0.111,0.828
0.97,0.118,0.817
0.97,0.125,0.805
0.97,0.132,0.793
0.97,0.139,0.781
0.97,0.146,0.766
0.97,0.153,0.749
0.97,0.16,0.623
1.04,0.02,0.792
1.04,0.027,0.846
1.04,0.034,0.868
1.04,0.041,0.878
1.04,0.048,0.881
1.04,0.055,0.882
1.04,0.062,0.881
1.04,0.069,0.879
1.04,0.076,0.876
1.04,0.083,0.873
1.04,0.09,0.868
1.04,0.097,0.862
1.04,0.104,0.854
1.04,0.111,0.845
1.04,0.118,0.835
1.04,0.125,0.825
1.04,0.132,0.814
1.04,0.139,0.803
1.04,0.146,0.792
1.04,0.153,0.779
1.04,0.16,0.764
1.11,0.02,0.786
1.11,0.027,0.842
1.11,0.034,0.867
1.11,0.041,0.878
1.11,0.048,0.883
1.11,0.055,0.886
